#,Stadium,Capacity,Spectators,Average,Matches,sold out,Capacity.1,Club,Year
1.0,King Abdullah Sports CityAl-Ittihad Club,62.345,27.0,27.0,1.0,-,43.3 %,,2007
,King Abdullah Sports City,,,,,,,,2007
,Al-Ittihad Club,,,,,,,,2007
2.0,King Fahd International StadiumAl-Hilal SFC,68.752,0.0,0.0,0.0,-,%,,2007
,King Fahd International Stadium,,,,,,,,2007
,Al-Hilal SFC,,,,,,,,2007
3.0,Prince Mohamed bin Fahd StadiumAl-Ettifaq FC,35.0,0.0,0.0,0.0,-,%,,2007
,Prince Mohamed bin Fahd Stadium,,,,,,,,2007
,Al-Ettifaq FC,,,,,,,,2007
4.0,Al-Hazem Club StadiumAl-Hazem SC,8.0,0.0,0.0,0.0,-,%,,2007
,Al-Hazem Club Stadium,,,,,,,,2007
,Al-Hazem SC,,,,,,,,2007
5.0,Prince Faisal bin Fahad StadiumAl-Shabab FC,22.5,0.0,0.0,0.0,-,%,,2007
,Prince Faisal bin Fahad Stadium,,,,,,,,2007
,Al-Shabab FC,,,,,,,,2007
6.0,King Abdul Aziz StadiumAl-Wehda FC,38.0,0.0,0.0,0.0,-,%,,2007
,King Abdul Aziz Stadium,,,,,,,,2007
,Al-Wehda FC,,,,,,,,2007
7.0,King Abdullah Sports CityAl-Ahli SFC,62.345,0.0,0.0,0.0,-,%,,2007
,King Abdullah Sports City,,,,,,,,2007
,Al-Ahli SFC,,,,,,,,2007
8.0,Al-Awwal ParkAl-Nassr FC,25.0,0.0,0.0,0.0,-,%,,2007
,Al-Awwal Park,,,,,,,,2007
,Al-Nassr FC,,,,,,,,2007
9.0,Prince Saud bin Jalawi StadiumAl-Qadsiah FC,11.8,0.0,0.0,0.0,-,%,,2007
,Prince Saud bin Jalawi Stadium,,,,,,,,2007
,Al-Qadsiah FC,,,,,,,,2007
10.0,Prince Hathloul bin Abdulaziz Sports City StadiumNajran SC,10.0,0.0,0.0,0.0,-,%,,2007
,Prince Hathloul bin Abdulaziz Sports City Stadium,,,,,,,,2007
,Najran SC,,,,,,,,2007
11.0,Prince Abdul Aziz bin Musa'ed StadiumAl-Tai FC,12.0,0.0,0.0,0.0,-,%,,2007
,Prince Abdul Aziz bin Musa'ed Stadium,,,,,,,,2007
,Al-Tai FC,,,,,,,,2007
,Total:,0.0,27.0,27.0,1.0,0,3.9 %,,2007
1.0,King Fahd International StadiumAl-Hilal SFC,68.752,18.864,18.864,1.0,-,27.4 %,,2008
,King Fahd International Stadium,,,,,,,,2008
,Al-Hilal SFC,,,,,,,,2008
2.0,Prince Mohamed bin Fahd StadiumAl-Ettifaq FC,35.0,0.0,0.0,0.0,-,%,,2008
,Prince Mohamed bin Fahd Stadium,,,,,,,,2008
,Al-Ettifaq FC,,,,,,,,2008
3.0,King Abdullah Sports CityAl-Ittihad Club,62.345,0.0,0.0,0.0,-,%,,2008
,King Abdullah Sports City,,,,,,,,2008
,Al-Ittihad Club,,,,,,,,2008
4.0,Al-Hazem Club StadiumAl-Hazem SC,8.0,0.0,0.0,0.0,-,%,,2008
,Al-Hazem Club Stadium,,,,,,,,2008
,Al-Hazem SC,,,,,,,,2008
5.0,Prince Faisal bin Fahad StadiumAl-Shabab FC,22.5,0.0,0.0,0.0,-,%,,2008
,Prince Faisal bin Fahad Stadium,,,,,,,,2008
,Al-Shabab FC,,,,,,,,2008
6.0,King Abdul Aziz StadiumAl-Wehda FC,38.0,0.0,0.0,0.0,-,%,,2008
,King Abdul Aziz Stadium,,,,,,,,2008
,Al-Wehda FC,,,,,,,,2008
7.0,King Abdullah Sports CityAl-Ahli SFC,62.345,0.0,0.0,0.0,-,%,,2008
,King Abdullah Sports City,,,,,,,,2008
,Al-Ahli SFC,,,,,,,,2008
8.0,Al-Awwal ParkAl-Nassr FC,25.0,0.0,0.0,0.0,-,%,,2008
,Al-Awwal Park,,,,,,,,2008
,Al-Nassr FC,,,,,,,,2008
9.0,King Abdullah Sport City StadiumAl-Raed SFC,25.0,0.0,0.0,0.0,-,%,,2008
,King Abdullah Sport City Stadium,,,,,,,,2008
,Al-Raed SFC,,,,,,,,2008
