Season,wappen,Club,Club.1,Top coaches,League
22/23,,Al-Ahli SFC,Pitso Mosimane,,Saudi Pro League
21/22,,Al-Khaleej FC,,,Saudi Pro League
20/21,,Al-Hazem SC,,,Saudi Pro League
19/20,,Al-Batin FC,,,Saudi Pro League
18/19,,Abha Club,,,Saudi Pro League
17/18,,Al-Wehda FC,,,Saudi Pro League
16/17,,Al-Fayha FC,,,Saudi Pro League
15/16,,Al-Ettifaq FC,,,Saudi Pro League
14/15,,Al-Qadsiah FC,,,Saudi Pro League
13/14,,Hajer Club,,,Saudi Pro League
12/13,,Al-Orobah FC,,,Saudi Pro League
11/12,,Al-Shoalah FC,,,Saudi Pro League
10/11,,Hajer Club,,,Saudi Pro League
09/10,,Al-Faisaly FC,,,Saudi Pro League
08/09,,Al-Qadsiah FC,,,Saudi Pro League
07/08,,Al-Raed SFC,,,Saudi Pro League
06/07,,Al-Watani,,,Saudi Pro League
05/06,,Al-Khaleej FC,,,Saudi Pro League
91/92,,Al-Raed SFC,,,Saudi Pro League
