Club,Club.1,name,Squad,ø age,Foreigners,ø market value,Total market value,League
,Al-Qadsiah FC,30.0,27.4,7,€526k,€15.78m,,SA2L
,Ohod Club,46.0,26.3,11,€206k,€9.48m,,SA2L
,Al-Adalah FC,29.0,27.6,7,€182k,€5.28m,,SA2L
,Al-Faisaly FC,31.0,26.0,7,€149k,€4.63m,,SA2L
,Al-Bukiryah FC,30.0,26.8,8,€138k,€4.13m,,SA2L
,Al-Batin FC,32.0,25.4,6,€129k,€4.13m,,SA2L
,Al-Jabalain FC,28.0,26.1,7,€132k,€3.70m,,SA2L
,Al-Orobah FC,30.0,26.0,7,€104k,€3.13m,,SA2L
,Jeddah FC,33.0,29.3,9,€92k,€3.05m,,SA2L
,Al-Arabi SC,31.0,26.3,7,€94k,€2.90m,,SA2L
,Al-Kholood Club,27.0,27.7,7,€106k,€2.85m,,SA2L
,Hajer Club,27.0,27.8,8,€92k,€2.48m,,SA2L
,Al-Taraji Club,29.0,26.7,7,€80k,€2.33m,,SA2L
,Al-Najma SC,33.0,27.1,7,€70k,€2.30m,,SA2L
,Al-Jandal SC,21.0,28.2,8,€99k,€2.08m,,SA2L
,Al-Qaisumah FC,21.0,29.9,7,€88k,€1.85m,,SA2L
,Al-Safa FC,28.0,28.7,7,€41k,€1.15m,,SA2L
,Al-Ain SFC,22.0,29.7,6,€49k,€1.08m,,SA2L
,,,526.0,27.7 Years,132,€134k,€70.23m,SA2L
