id,Stadium,Capacity,Spectators,Average,Matches,sold out,Club,Year
1,King Abdullah Sports City,62.345,27.0,27.0,1,-,Al-Ittihad Club,2007
2,King Fahd International Stadium,68.752,0.0,0.0,0,-,Al-Hilal SFC,2007
3,Prince Mohamed bin Fahd Stadium,35.0,0.0,0.0,0,-,Al-Ettifaq FC,2007
4,Al-Hazem Club Stadium,8.0,0.0,0.0,0,-,Al-Hazem SC,2007
5,Prince Faisal bin Fahad Stadium,22.5,0.0,0.0,0,-,Al-Shabab FC,2007
6,King Abdul Aziz Stadium,38.0,0.0,0.0,0,-,Al-Wehda FC,2007
7,King Abdullah Sports City,62.345,0.0,0.0,0,-,Al-Ahli SFC,2007
8,Al-Awwal Park,25.0,0.0,0.0,0,-,Al-Nassr FC,2007
9,Prince Saud bin Jalawi Stadium,11.8,0.0,0.0,0,-,Al-Qadsiah FC,2007
10,Prince Hathloul bin Abdulaziz Sports City Stadium,10.0,0.0,0.0,0,-,Najran SC,2007
11,Prince Abdul Aziz bin Musa'ed Stadium,12.0,0.0,0.0,0,-,Al-Tai FC,2007
12,King Fahd International Stadium,68.752,18.864,18.864,1,-,Al-Hilal SFC,2008
13,Prince Mohamed bin Fahd Stadium,35.0,0.0,0.0,0,-,Al-Ettifaq FC,2008
14,King Abdullah Sports City,62.345,0.0,0.0,0,-,Al-Ittihad Club,2008
15,Al-Hazem Club Stadium,8.0,0.0,0.0,0,-,Al-Hazem SC,2008
16,Prince Faisal bin Fahad Stadium,22.5,0.0,0.0,0,-,Al-Shabab FC,2008
17,King Abdul Aziz Stadium,38.0,0.0,0.0,0,-,Al-Wehda FC,2008
18,King Abdullah Sports City,62.345,0.0,0.0,0,-,Al-Ahli SFC,2008
19,Al-Awwal Park,25.0,0.0,0.0,0,-,Al-Nassr FC,2008
20,King Abdullah Sport City Stadium,25.0,0.0,0.0,0,-,Al-Raed SFC,2008
21,Prince Hathloul bin Abdulaziz Sports City Stadium,10.0,0.0,0.0,0,-,Najran SC,2008
22,Prince Sultan bin Abdul Aziz Stadium,20.0,0.0,0.0,0,-,Abha Club,2008
23,King Fahd International Stadium,68.752,19.0,19.0,1,-,Al-Hilal SFC,2009
24,Prince Mohamed bin Fahd Stadium,35.0,0.0,0.0,0,-,Al-Ettifaq FC,2009
25,King Abdullah Sports City,62.345,0.0,0.0,0,-,Al-Ittihad Club,2009
26,Al-Hazem Club Stadium,8.0,0.0,0.0,0,-,Al-Hazem SC,2009
27,Prince Faisal bin Fahad Stadium,22.5,0.0,0.0,0,-,Al-Shabab FC,2009
28,King Abdul Aziz Stadium,38.0,0.0,0.0,0,-,Al-Wehda FC,2009
29,King Abdullah Sports City,62.345,0.0,0.0,0,-,Al-Ahli SFC,2009
30,Al-Awwal Park,25.0,0.0,0.0,0,-,Al-Nassr FC,2009
31,King Abdullah Sport City Stadium,25.0,0.0,0.0,0,-,Al-Raed SFC,2009
32,Prince Saud bin Jalawi Stadium,11.8,0.0,0.0,0,-,Al-Qadsiah FC,2009
33,Prince Hathloul bin Abdulaziz Sports City Stadium,10.0,0.0,0.0,0,-,Najran SC,2009
34,Prince Abdullah bin Jalawi Stadium,26.0,0.0,0.0,0,-,Al-Fateh SC,2009
35,King Fahd International Stadium,68.752,107.734,9.794,11,-,Al-Hilal SFC,2010
36,King Abdullah Sports City,62.345,70.603,7.845,9,-,Al-Ittihad Club,2010
37,King Abdullah Sports City,62.345,67.481,8.435,8,-,Al-Ahli SFC,2010
38,King Abdullah Sport City Stadium,25.0,62.613,8.945,7,-,Al-Raed SFC,2010
39,Al-Awwal Park,25.0,46.718,5.84,8,-,Al-Nassr FC,2010
40,Prince Mohamed bin Fahd Stadium,35.0,44.567,5.571,8,-,Al-Ettifaq FC,2010
41,Al-Taawoun Club Stadium,5.961,41.389,5.913,7,-,Al-Taawoun FC,2010
42,King Abdul Aziz Stadium,38.0,15.697,2.242,7,-,Al-Wehda FC,2010
43,Prince Faisal bin Fahad Stadium,22.5,12.741,1.416,9,-,Al-Shabab FC,2010
44,Prince Saud bin Jalawi Stadium,11.8,4.661,1.554,3,-,Al-Qadsiah FC,2010
45,Prince Hathloul bin Abdulaziz Sports City Stadium,10.0,3.624,1.208,3,-,Najran SC,2010
46,Al Majma'ah Sports City Stadium,7.0,3.257,1.086,3,-,Al-Faisaly FC,2010
