id,Clubs,Players,avg_age,Foreigners,market_value(€),total_market_value(€),League
1,Al-Hilal SFC,28.0,28.0,9,9.0,258.0,SA1
2,Al-Ahli SFC,29.0,25.6,9,7.0,201.0,SA1
3,Al-Nassr FC,27.0,28.1,9,7.0,196.0,SA1
4,Al-Ittihad Club,32.0,27.2,10,4.0,133.0,SA1
5,Al-Shabab FC,25.0,27.4,9,3.0,69.0,SA1
6,Al-Ettifaq FC,25.0,26.4,9,3.0,67.0,SA1
7,Al-Taawoun FC,28.0,25.3,8,1.0,35.0,SA1
8,Al-Fayha FC,27.0,27.8,10,1.0,30.0,SA1
9,Abha Club,36.0,27.9,10,764.0,28.0,SA1
10,Al-Fateh SC,29.0,27.6,9,876.0,25.0,SA1
11,Al-Riyadh SC,28.0,28.3,8,756.0,21.0,SA1
12,Damac FC,32.0,27.6,9,635.0,20.0,SA1
13,Al-Raed SFC,30.0,27.4,9,593.0,18.0,SA1
14,Al-Tai FC,27.0,27.0,8,636.0,17.0,SA1
15,Al-Hazem SC,35.0,26.0,8,488.0,17.0,SA1
16,Al-Okhdood Club,26.0,27.4,9,626.0,16.0,SA1
17,Al-Wehda FC,37.0,27.4,9,434.0,16.0,SA1
18,Al-Khaleej FC,29.0,27.2,8,522.0,15.0,SA1
1,Al-Qadsiah FC,30.0,27.4,7,526.0,16.0,SA2L
2,Ohod Club,46.0,26.3,11,206.0,9.0,SA2L
3,Al-Adalah FC,29.0,27.6,7,182.0,5.0,SA2L
4,Al-Faisaly FC,31.0,26.0,7,149.0,5.0,SA2L
5,Al-Bukiryah FC,30.0,26.8,8,138.0,4.0,SA2L
6,Al-Batin FC,32.0,25.4,6,129.0,4.0,SA2L
7,Al-Jabalain FC,28.0,26.1,7,132.0,4.0,SA2L
8,Al-Orobah FC,30.0,26.0,7,104.0,3.0,SA2L
9,Jeddah FC,33.0,29.3,9,92.0,3.0,SA2L
10,Al-Arabi SC,31.0,26.3,7,94.0,3.0,SA2L
11,Al-Kholood Club,27.0,27.7,7,106.0,3.0,SA2L
12,Hajer Club,27.0,27.8,8,92.0,2.0,SA2L
13,Al-Taraji Club,29.0,26.7,7,80.0,2.0,SA2L
14,Al-Najma SC,33.0,27.1,7,70.0,2.0,SA2L
15,Al-Jandal SC,21.0,28.2,8,99.0,2.0,SA2L
16,Al-Qaisumah FC,21.0,29.9,7,88.0,2.0,SA2L
17,Al-Safa FC,28.0,28.7,7,41.0,1.0,SA2L
18,Al-Ain SFC,22.0,29.7,6,49.0,1.0,SA2L
1,Al-Hilal SFC,28.0,28.0,9,9.0,258.0,SA1
2,Al-Ahli SFC,29.0,25.6,9,7.0,201.0,SA1
3,Al-Nassr FC,27.0,28.1,9,7.0,196.0,SA1
4,Al-Ittihad Club,32.0,27.2,10,4.0,133.0,SA1
5,Al-Shabab FC,25.0,27.4,9,3.0,69.0,SA1
