club_name,country,player_name,age,position,club_involved_name,club_involved_country,transfer_movement,transfer_period,year,id
Al-Hilal SFC,Saudi Arabia,Khaled Aziz,18.0,Defensive Midfield,,,in,Summer,2000,1
Al-Hilal SFC,Saudi Arabia,Sami Al-Jaber,27.0,Centre-Forward,Wolves,England,out,Summer,2000,2
Al-Hilal SFC,Saudi Arabia,Fahad Al-Ghesheyan,26.0,Right Winger,Al-Nassr,Saudi Arabia,out,Summer,2000,3
Al-Hilal SFC,Saudi Arabia,Saleh Al-Salloumi,37.0,Goalkeeper,Retired,Retired,out,Summer,2000,4
Al-Hilal SFC,Saudi Arabia,Elijah Litana,29.0,Centre-Back,Retired,Retired,out,Summer,2000,5
Ittihad Club,Saudi Arabia,Marzouq Al-Otaibi,24.0,Centre-Forward,Al-Shabab,Saudi Arabia,in,Summer,2000,6
Ittihad Club,Saudi Arabia,Khalid Massad,28.0,Attacking Midfield,Al-Ahli SFC,Saudi Arabia,in,Summer,2000,7
Ittihad Club,Saudi Arabia,Ivan Malimon,21.0,Centre-Forward,Edessaikos,Greece,in,Summer,2000,8
Ittihad Club,Saudi Arabia,Manaf Abushgeer,20.0,Left Midfield,Ittihad C. U23,Saudi Arabia,in,Summer,2000,9
Ittihad Club,Saudi Arabia,Darci,31.0,Left Winger,Antalyaspor,Turkey,out,Summer,2000,10
Ittihad Club,Saudi Arabia,Macros Pereira,26.0,Attack,Seongnam Ilhwa,Korea Republic,out,Summer,2000,11
Ittihad Club,Saudi Arabia,Roberto Donadoni,36.0,Right Midfield,Retired,Retired,out,Summer,2000,12
Al-Nassr FC,Saudi Arabia,Saad Al-Shehri,20.0,Midfield,Al-Ettifaq,Saudi Arabia,in,Summer,2000,13
Al-Nassr FC,Saudi Arabia,Fahad Al-Ghesheyan,26.0,Right Winger,Al-Hilal,Saudi Arabia,in,Summer,2000,14
Al-Nassr FC,Saudi Arabia,Ahmed Bahja,29.0,Centre-Forward,Al-Ahli SFC,Saudi Arabia,out,Summer,2000,15
Al-Nassr FC,Saudi Arabia,Fahad Al Bishi,34.0,Midfield,Retired,Retired,out,Summer,2000,16
Al-Nassr FC,Saudi Arabia,Milson,22.0,Centre-Forward,Botafogo,Brazil,out,Summer,2000,17
Al-Shabab FC,Saudi Arabia,Mustapha Bidoudane,24.0,Centre-Forward,FUS Rabat,Morocco,in,Summer,2000,18
Al-Shabab FC,Saudi Arabia,Redha Tukar,24.0,Centre-Back,Ohod Club,Saudi Arabia,in,Summer,2000,19
Al-Shabab FC,Saudi Arabia,Marzouq Al-Otaibi,24.0,Centre-Forward,Ittihad Club,Saudi Arabia,out,Summer,2000,20
Al-Ahli SFC,Saudi Arabia,Mohammed Husain Bahzad,20.0,Centre-Back,Al-Najma,Bahrain,in,Summer,2000,21
Al-Ahli SFC,Saudi Arabia,Naif Al-Qadi,21.0,Centre-Back,,,in,Summer,2000,22
Al-Ahli SFC,Saudi Arabia,Waleed Al-Gizani,19.0,Centre-Forward,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2000,23
Al-Ahli SFC,Saudi Arabia,Khalid Massad,28.0,Attacking Midfield,Ittihad Club,Saudi Arabia,out,Summer,2000,24
Al-Ettifaq FC,Saudi Arabia,Saad Al-Shehri,20.0,Midfield,Al-Nassr,Saudi Arabia,out,Summer,2000,25
Al-Qadsiah FC,Saudi Arabia,Saud Kariri,19.0,Defensive Midfield,,,in,Summer,2000,26
Al-Qadsiah FC,Saudi Arabia,Yasser Al-Qahtani,17.0,Centre-Forward,Al-Qadsiah U23,Saudi Arabia,in,Summer,2000,27
Al-Riyadh SC,Saudi Arabia,Moussa N'Daw,31.0,Centre-Forward,Retired,Retired,out,Summer,2000,28
Al-Wehda FC,Saudi Arabia,Hassen Ghoula,31.0,Centre-Back,CR Béni Thour,Algeria,in,Summer,2000,29
Al-Wehda FC,Saudi Arabia,Nei Bala,22.0,Centre-Forward,Al-Ain FC,Saudi Arabia,in,Summer,2000,30
Al-Wehda FC,Saudi Arabia,Tarek Hadj Adlane,34.0,Centre-Forward,USM Alger,Algeria,out,Summer,2000,31
Al-Wehda FC,Saudi Arabia,Ernest Mtawali,31.0,Defensive Midfield,Orlando Pirates,South Africa,out,Summer,2000,32
Al-Hilal SFC,Saudi Arabia,Túlio,24.0,Defensive Midfield,Goiás,Brazil,in,Winter,2000,33
Al-Hilal SFC,Saudi Arabia,Abdullah Sulaiman Zubromawi,27.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,in,Winter,2000,34
Al-Hilal SFC,Saudi Arabia,Christopher Wreh,25.0,Centre-Forward,Arsenal FC,England,in,Winter,2000,35
Al-Hilal SFC,Saudi Arabia,Roni,23.0,Centre-Forward,Fluminense,Brazil,in,Winter,2000,36
Al-Hilal SFC,Saudi Arabia,Sami Al-Jaber,28.0,Centre-Forward,Wolves,England,in,Winter,2000,37
Ittihad Club,Saudi Arabia,Mabrouk Zaid,21.0,Goalkeeper,Al-Riyadh SC,Qatar,in,Winter,2000,38
Ittihad Club,Saudi Arabia,Michele Gelsi,32.0,Central Midfield,Ravenna,Italy,in,Winter,2000,39
Ittihad Club,Saudi Arabia,Marcelo Gómez,30.0,Defensive Midfield,Gimnasia,Argentina,in,Winter,2000,40
Ittihad Club,Saudi Arabia,Dalian Atkinson,32.0,Centre-Forward,Daejeon Citizen,Korea Republic,out,Winter,2000,41
Ittihad Club,Saudi Arabia,Ivan Malimon,22.0,Centre-Forward,,,out,Winter,2000,42
Ittihad Club,Saudi Arabia,Gerson,28.0,Centre-Forward,Antalyaspor,Turkey,out,Winter,2000,43
Al-Nassr FC,Saudi Arabia,Mehdi Ben Slimane,27.0,Right Winger,SC Freiburg,Germany,in,Winter,2000,44
