id,club_name,country,player_name,age,position,club_involved_name,club_involved_country,transfer_movement,transfer_period,year
1,Al-Hilal SFC,Saudi Arabia,Bruno Agnello,21.0,Attacking Midfield,Jabaquara-SP,Brazil,in,Summer,2007
2,Al-Hilal SFC,Saudi Arabia,Abdullah Al-Zoari,19.0,Centre-Back,Al-Nahdah FC,Saudi Arabia,in,Summer,2007
3,Al-Hilal SFC,Saudi Arabia,Mohammad Al-Nakhli,23.0,Right-Back,,,in,Summer,2007
4,Al-Hilal SFC,Saudi Arabia,Salman Al-Muwashar,18.0,Left Winger,Al-Hilal U23,Saudi Arabia,in,Summer,2007
5,Al-Hilal SFC,Saudi Arabia,Hassan Khairat,19.0,Centre-Back,Al-Hilal U23,Saudi Arabia,in,Summer,2007
6,Al-Hilal SFC,Saudi Arabia,Faisal Al-Jamaan,21.0,Centre-Forward,Al-Hilal U23,Saudi Arabia,in,Summer,2007
7,Al-Hilal SFC,Saudi Arabia,Abdulaziz Al-Dawsari,18.0,Left Midfield,Al-Hilal U23,Saudi Arabia,in,Summer,2007
8,Al-Hilal SFC,Saudi Arabia,Ahmed Al-Fraidi,19.0,Attacking Midfield,Al-Hilal U23,Saudi Arabia,in,Summer,2007
9,Al-Hilal SFC,Saudi Arabia,Ibrahima Ba,22.0,Defensive Midfield,FC Thun,Switzerland,out,Summer,2007
10,Al-Hilal SFC,Saudi Arabia,Ahmed Khaleel,36.0,Defence,Al-Tai,Saudi Arabia,out,Summer,2007
11,Al-Hilal SFC,Saudi Arabia,Faisal Al-Jamaan,22.0,Centre-Forward,Al-Fateh,Saudi Arabia,out,Summer,2007
12,Al-Hilal SFC,Saudi Arabia,Sami Al-Jaber,34.0,Centre-Forward,Retired,Retired,out,Summer,2007
13,Al-Hilal SFC,Saudi Arabia,Rodrigão,29.0,Centre-Forward,Atlético-PR,Brazil,out,Summer,2007
14,Ittihad Club,Saudi Arabia,Abdulrahman Al-Qahtani,24.0,Left Midfield,Al-Ettifaq,Saudi Arabia,in,Summer,2007
15,Ittihad Club,Saudi Arabia,Magno Alves,31.0,Centre-Forward,Gamba Osaka,Japan,in,Summer,2007
16,Ittihad Club,Saudi Arabia,Talal Al-Meshal,29.0,Centre-Forward,Al-Markhiya SC,Qatar,in,Summer,2007
17,Ittihad Club,Saudi Arabia,Robert,26.0,Centre-Forward,Real Betis,Spain,in,Summer,2007
18,Ittihad Club,Saudi Arabia,Renan Teixeira,22.0,Defensive Midfield,São Paulo,Brazil,in,Summer,2007
19,Ittihad Club,Saudi Arabia,Mohammed Salem,21.0,Centre-Back,Ittihad C. U23,Saudi Arabia,in,Summer,2007
20,Ittihad Club,Saudi Arabia,Mohamad Labib,20.0,Centre-Forward,Ittihad C. U23,Saudi Arabia,in,Summer,2007
21,Ittihad Club,Saudi Arabia,Obaid Al-Shamrani,21.0,Right-Back,Ittihad C. U23,Saudi Arabia,in,Summer,2007
22,Ittihad Club,Saudi Arabia,Abdullah Al-Waked,31.0,Central Midfield,Al-Nassr,Saudi Arabia,out,Summer,2007
23,Ittihad Club,Saudi Arabia,Reinaldo,28.0,Centre-Forward,JEF Utd. Chiba,Japan,out,Summer,2007
24,Ittihad Club,Saudi Arabia,Lima,25.0,Centre-Forward,São Caetano,San Marino,out,Summer,2007
25,Ittihad Club,Saudi Arabia,Khaled Omar Gahwji,32.0,Attacking Midfield,Jeddah FC,Saudi Arabia,out,Summer,2007
26,Ittihad Club,Saudi Arabia,Tcheco,32.0,Central Midfield,Grêmio,Brazil,out,Summer,2007
27,Ittihad Club,Saudi Arabia,Marzouq Al-Otaibi,31.0,Centre-Forward,Al-Nassr,Saudi Arabia,out,Summer,2007
28,Ittihad Club,Saudi Arabia,Khamis Al-Owairan,33.0,Defensive Midfield,Retired,Retired,out,Summer,2007
29,Ittihad Club,Saudi Arabia,Hamzah Idris,35.0,Centre-Forward,Retired,Retired,out,Summer,2007
30,Al-Ahli SFC,Saudi Arabia,Nunes,25.0,Centre-Forward,América-RN,Brazil,in,Summer,2007
31,Al-Ahli SFC,Saudi Arabia,Turki Al-Thagafi,28.0,Attacking Midfield,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2007
32,Al-Ahli SFC,Saudi Arabia,Mansour Al-Harbi,19.0,Left-Back,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2007
33,Al-Ahli SFC,Saudi Arabia,Alaa Al-Rishani,19.0,Defensive Midfield,Al-Ahli SFC U23,Saudi Arabia,in,Summer,2007
34,Al-Ahli SFC,Saudi Arabia,Taiseer Al-Jassam,22.0,Central Midfield,Al-Gharafa SC,Qatar,in,Summer,2007
35,Al-Ahli SFC,Saudi Arabia,Naif Al-Qadi,28.0,Centre-Back,Al-Rayyan SC,Qatar,in,Summer,2007
36,Al-Ahli SFC,Saudi Arabia,Saleh Al-Mohammadi,26.0,Attacking Midfield,Al-Faisaly FC,Saudi Arabia,in,Summer,2007
37,Al-Ahli SFC,Saudi Arabia,Talal Al-Meshal,29.0,Centre-Forward,Al-Nassr,Saudi Arabia,in,Summer,2007
38,Al-Ahli SFC,Saudi Arabia,Naif Al-Qadi,28.0,Centre-Back,Al-Shabab,Saudi Arabia,out,Summer,2007
39,Al-Ahli SFC,Saudi Arabia,Talal Al-Meshal,29.0,Centre-Forward,Al-Markhiya SC,Qatar,out,Summer,2007
40,Al-Ahli SFC,Saudi Arabia,Darko Anic,33.0,Central Midfield,Retired,Retired,out,Summer,2007
41,Al-Ahli SFC,Saudi Arabia,Caio,26.0,Attacking Midfield,Coritiba FC,Brazil,out,Summer,2007
42,Al-Nassr FC,Saudi Arabia,Élton,21.0,Attacking Midfield,Steaua Bucharest,Romania,in,Summer,2007
43,Al-Nassr FC,Saudi Arabia,Abdullah Al-Waked,31.0,Central Midfield,Ittihad Club,Saudi Arabia,in,Summer,2007
44,Al-Nassr FC,Saudi Arabia,Porfírio,33.0,Centre-Forward,Oriental,Finland,in,Summer,2007
45,Al-Nassr FC,Saudi Arabia,Marzouq Al-Otaibi,31.0,Centre-Forward,Ittihad Club,Saudi Arabia,in,Summer,2007
46,Al-Nassr FC,Saudi Arabia,Denílson,29.0,Left Winger,Dallas,United States,out,Summer,2007
47,Al-Nassr FC,Saudi Arabia,Abdulaziz Al-Janoubi,30.0,Centre-Back,,,out,Summer,2007
48,Al-Nassr FC,Saudi Arabia,Adrian Aliaj,30.0,Left-Back,Retired,Retired,out,Summer,2007
49,Al-Nassr FC,Saudi Arabia,Massamasso Tchangai,28.0,Centre-Back,Free Agent,Free Agent,out,Summer,2007
50,Al-Nassr FC,Saudi Arabia,Talal Al-Meshal,29.0,Centre-Forward,Al-Ahli SFC,Saudi Arabia,out,Summer,2007
51,Al-Shabab FC,Saudi Arabia,Nasser Al-Shamrani,23.0,Centre-Forward,Al-Wehda,Saudi Arabia,in,Summer,2007
52,Al-Shabab FC,Saudi Arabia,Juan Manuel Martínez,21.0,Right Winger,Vélez Sarsfield,Argentina,in,Summer,2007
53,Al-Shabab FC,Saudi Arabia,Michael Eneramo,21.0,Centre-Forward,ES Tunis,Tunisia,in,Summer,2007
54,Al-Shabab FC,Saudi Arabia,Camacho,27.0,Attacking Midfield,Al-Arabi SC,Qatar,in,Summer,2007
55,Al-Shabab FC,Saudi Arabia,Naif Al-Qadi,28.0,Centre-Back,Al-Ahli SFC,Saudi Arabia,in,Summer,2007
56,Al-Shabab FC,Saudi Arabia,Runa,23.0,Centre-Back,FC Marco,France,in,Summer,2007
57,Al-Shabab FC,Saudi Arabia,Nashat Akram,22.0,Attacking Midfield,Al-Ain FC,Saudi Arabia,out,Summer,2007
58,Al-Shabab FC,Saudi Arabia,Naif Mousa,20.0,Left-Back,Al-Hazem,Saudi Arabia,out,Summer,2007
59,Al-Shabab FC,Saudi Arabia,Godwin Attram,27.0,Centre-Forward,Al-Hazem,Saudi Arabia,out,Summer,2007
60,Al-Shabab FC,Saudi Arabia,Amir Azmi Megahed,24.0,Centre-Back,Free Agent,Free Agent,out,Summer,2007
61,Al-Ettifaq FC,Saudi Arabia,Prince Tagoe,20.0,Centre-Forward,Al-Shaab,Qatar,in,Summer,2007
62,Al-Ettifaq FC,Saudi Arabia,Abdulrahman Al-Qahtani,24.0,Left Midfield,Ittihad Club,Saudi Arabia,out,Summer,2007
63,Al-Ettifaq FC,Saudi Arabia,Wajih Sghaier,28.0,Attacking Midfield,Stade Tunisien,Tunisia,out,Summer,2007
